law_id,law_name,domain,statement,primitive_function,enforcement_layer,sdk_affinity,organism_placement
AL-001,Law of Structural Containment,Markup,Every element must be semantically contained within a defined structural boundary,Define semantic structure and containment,Projection Ring,@medina/sovereign-memory-sdk,Frontend organism / structure layer
AL-002,Law of Visual Priority,Styling,Visual properties must resolve by specificity cascade — never by insertion order alone,Control style and visual hierarchy,Visual Ring,@medina/sovereign-memory-sdk,Frontend organism / visual layer
AL-003,Law of Compositional Atomicity,Styling,Style units must be atomic and composable without side effects,Isolate visual atoms,Visual Ring,@medina/sovereign-memory-sdk,Frontend organism / visual layer
AL-004,Law of Projection Sovereignty,Framework,Every component projects its own state — never inherits mutable parent state implicitly,Project component trees and route flows,Interface Ring,@medina/organism-runtime-sdk,Frontend organism / orchestration layer
AL-005,Law of Unidirectional Flow,State,Data must flow in one direction through the component tree; mutations occur only at the source,Persist and synchronize runtime state,Memory Ring,@medina/organism-runtime-sdk,Frontend organism / memory layer
AL-006,Law of State Locality,State,State must be owned by the narrowest scope that needs it,Minimize state surface,Memory Ring,@medina/organism-runtime-sdk,Frontend organism / memory layer
AL-007,Law of Immutable Transition,State,State transitions must produce new state objects — never mutate existing references,Enforce immutable state transitions,Memory Ring,@medina/organism-runtime-sdk,Frontend organism / memory layer
AL-008,Law of Build Determinism,Build,The same source input must always produce the same build output,Transform source into deterministic artifacts,Build Ring,@medina/intelligence-routing-sdk,Frontend organism / packaging layer
AL-009,Law of Transform Transparency,Build,Every transformation step must be inspectable and reversible in development mode,Maintain transform chain auditability,Build Ring,@medina/intelligence-routing-sdk,Frontend organism / packaging layer
AL-010,Law of Verification Completeness,Testing,Every public interface must have a corresponding verification proof,Validate behavior and runtime truth,Proof Ring,@medina/organism-runtime-sdk,Frontend organism / verification layer
AL-011,Law of Visual Truth,Testing,Visual output must be provably consistent across render targets,Assert visual determinism,Proof Ring,@medina/organism-runtime-sdk,Frontend organism / verification layer
AL-012,Law of Scene Sovereignty,Graphics,Every scene must own its render context and never share GL state implicitly,Render scenes with isolated context,Geometry Ring,@medina/sovereign-memory-sdk,Frontend organism / scene layer
AL-013,Law of Animation Continuity,Graphics,Animations must interpolate continuously — no discrete jumps without explicit intent,Maintain temporal continuity,Geometry Ring,@medina/sovereign-memory-sdk,Frontend organism / scene layer
AL-014,Law of Channel Isolation,Communication,Every communication channel must be independently fail-safe and recoverable,Move data across isolated channels,Transport Ring,@medina/intelligence-routing-sdk,Frontend organism / channel layer
AL-015,Law of Request Idempotency,Communication,Repeated identical requests must produce the same side effects exactly once,Ensure idempotent data exchange,Transport Ring,@medina/intelligence-routing-sdk,Frontend organism / channel layer
AL-016,Law of Cache Coherence,Storage,Cached data must never contradict its source of truth for longer than one heartbeat cycle,Synchronize local memory,Persistence Ring,@medina/sovereign-memory-sdk,Frontend organism / persistence layer
AL-017,Law of Token Ephemerality,Storage,Authentication tokens must expire and rotate — never persist beyond their trust window,Enforce token lifecycle,Persistence Ring,@medina/sovereign-memory-sdk,Frontend organism / persistence layer
AL-018,Law of Native Capability Gating,Web API,Browser-native capabilities must be accessed through permission gates — never assumed,Gate native browser capabilities,Native Capability Ring,@medina/organism-runtime-sdk,Frontend organism / native runtime layer
AL-019,Law of Heartbeat Sovereignty,Runtime,The organism heartbeat (873ms) is the fundamental clock — all autonomous cycles synchronize to it,Maintain organism pulse,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / heartbeat layer
AL-020,Law of Register Integrity,Runtime,The 4 organism registers (Cognitive/Affective/Somatic/Sovereign) must never be written simultaneously by competing processes,Protect register coherence,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / state layer
AL-021,Law of Doctrine Alignment,Governance,Every model and SDK must declare its doctrine alignment before deployment,Enforce doctrine compliance,Counsel Ring,@medina/enterprise-integration-sdk,Organism core / governance layer
AL-022,Law of Lineage Preservation,Memory,Every memory mutation must record its ancestor — no orphan state is permitted,Track memory lineage,Memory Ring,@medina/sovereign-memory-sdk,Frontend organism / memory layer
AL-023,Law of Phi-Encoded Coordinates,Memory,Spatial memory must use phi-encoded coordinates (θ/φ/ρ/ring/beat) for addressability,Generate phi-encoded coordinates,Memory Ring,@medina/sovereign-memory-sdk,Frontend organism / memory layer
AL-024,Law of Dual-Layer Search,Memory,Memory retrieval must support both semantic and resonance search simultaneously,Enable dual-layer retrieval,Memory Ring,@medina/sovereign-memory-sdk,Frontend organism / memory layer
AL-025,Law of Intelligent Routing,Routing,Every task must be routed to the most capable available model — never randomly assigned,Route tasks by capability match,Interface Ring,@medina/intelligence-routing-sdk,Frontend organism / orchestration layer
AL-026,Law of Wire Encryption,Routing,Intelligence wires must be encrypted by default — plaintext transmission requires explicit override,Encrypt intelligence channels,Transport Ring,@medina/intelligence-routing-sdk,Frontend organism / channel layer
AL-027,Law of Workforce Balance,Routing,Agent workload must be continuously rebalanced to prevent single-point overload,Rebalance workforce distribution,Interface Ring,@medina/intelligence-routing-sdk,Frontend organism / orchestration layer
AL-028,Law of Connector Neutrality,Integration,Enterprise connectors must not assume vendor-specific data models at the transport layer,Maintain connector abstraction,Interface Ring,@medina/enterprise-integration-sdk,Frontend organism / integration layer
AL-029,Law of Onboarding Sovereignty,Integration,Company onboarding must offer a sovereign mode that aligns the entity with doctrine,Enable doctrine-aligned onboarding,Counsel Ring,@medina/enterprise-integration-sdk,Organism core / governance layer
AL-030,Law of Document Absorption,Absorption,Raw documents must pass through intake/extract/classify/index/absorb before entering the organism,Enforce absorption pipeline discipline,Memory Ring,@medina/document-absorption-engine,Frontend organism / knowledge layer
AL-031,Law of Knowledge Graph Integrity,Absorption,Knowledge graph nodes must have typed edges — no untyped relationships are permitted,Maintain typed graph relations,Memory Ring,@medina/document-absorption-engine,Frontend organism / knowledge layer
AL-032,Law of Digest Fidelity,Absorption,Generated digests must be traceable to their source documents — no hallucinated content,Ensure digest provenance,Proof Ring,@medina/document-absorption-engine,Frontend organism / knowledge layer
AL-033,Law of Anti-Collapse,Governance,No subsystem may collapse another subsystem's runtime — all failures must be contained,Prevent cascade collapse,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / resilience layer
AL-034,Law of Edge Sensing,Runtime,The organism must continuously sense its edge environment and adapt without human intervention,Enable autonomous edge adaptation,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / edge layer
AL-035,Law of Cross-Organism Resonance,Runtime,Peer organisms must be able to exchange resonance signals without centralized coordination,Enable decentralized resonance,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / resonance layer
AL-036,Law of Kernel Isolation,Runtime,Kernel execution must be sandboxed — one kernel failure must not corrupt another kernel's state,Isolate kernel execution,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / execution layer
AL-037,Law of Fracture Recognition,Architecture,Every external technology must be recognized as a fracture before it can be reduced to a primitive,Classify external technologies,Counsel Ring,All SDKs,Architecture / fracture registry
AL-038,Law of Primitive Reduction,Architecture,Every fracture must be reduced to one of: relation / visibility / flow / state / synchronization / projection / transformation / verification,Reduce fractures to primitives,Counsel Ring,All SDKs,Architecture / primitive registry
AL-039,Law of Sovereign Rebuild,Architecture,Reduced primitives must be rebuilt as sovereign versions owned by the organism,Rebuild sovereign implementations,Counsel Ring,All SDKs,Architecture / sovereign registry
AL-040,Law of Organism Reintegration,Architecture,Every sovereign rebuild must be reinserted into doctrine / mechanism / runtime / organism / IP,Reintegrate into organism,Counsel Ring,All SDKs,Architecture / organism integration
