model_id,technology,natural_language,intelligence_type,ring_affinity,primitive_function,sovereign_replacement_candidate,current_status,package_path,organism_placement
FF-001,HTML5,HTML5 as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/html5.json,Frontend organism / structure layer
FF-002,XML,XML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/xml.json,Frontend organism / structure layer
FF-003,SVG,SVG as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/svg.json,Frontend organism / structure layer
FF-004,MathML,MathML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/mathml.json,Frontend organism / structure layer
FF-005,XHTML,XHTML as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/xhtml.json,Frontend organism / structure layer
FF-006,Web Components,Web Components as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/web-components.json,Frontend organism / structure layer
FF-007,Shadow DOM,Shadow DOM as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/shadow-dom.json,Frontend organism / structure layer
FF-008,Template Literals,Template Literals as markup intelligence,Structural projection intelligence,Projection Ring,Define semantic structure and containment,Sovereign Markup Kernel,catalogued,/registry/frontend/models/template-literals.json,Frontend organism / structure layer
FF-009,CSS3,CSS3 as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css3.json,Frontend organism / visual layer
FF-010,SCSS / Sass,SCSS / Sass as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/scss-sass.json,Frontend organism / visual layer
FF-011,Less,Less as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/less.json,Frontend organism / visual layer
FF-012,Stylus,Stylus as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/stylus.json,Frontend organism / visual layer
FF-013,PostCSS,PostCSS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/postcss.json,Frontend organism / visual layer
FF-014,CSS Modules,CSS Modules as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-modules.json,Frontend organism / visual layer
FF-015,Tailwind CSS,Tailwind CSS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/tailwind-css.json,Frontend organism / visual layer
FF-016,CSS-in-JS,CSS-in-JS as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-in-js.json,Frontend organism / visual layer
FF-017,Emotion,Emotion as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/emotion.json,Frontend organism / visual layer
FF-018,Styled Components,Styled Components as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/styled-components.json,Frontend organism / visual layer
FF-019,CSS Grid,CSS Grid as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-grid.json,Frontend organism / visual layer
FF-020,Flexbox,Flexbox as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/flexbox.json,Frontend organism / visual layer
FF-021,CSS Variables,CSS Variables as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-variables.json,Frontend organism / visual layer
FF-022,CSS Animations,CSS Animations as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-animations.json,Frontend organism / visual layer
FF-023,CSS Transforms,CSS Transforms as styling intelligence,Visual composition intelligence,Visual Ring,"Control style, spacing, and visual hierarchy",Sovereign Style Engine,catalogued,/registry/frontend/models/css-transforms.json,Frontend organism / visual layer
FF-024,TypeScript,TypeScript as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/typescript.json,Frontend organism / orchestration layer
FF-025,React,React as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/react.json,Frontend organism / orchestration layer
FF-026,Vue.js,Vue.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/vue-js.json,Frontend organism / orchestration layer
FF-027,Angular,Angular as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/angular.json,Frontend organism / orchestration layer
FF-028,Svelte,Svelte as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/svelte.json,Frontend organism / orchestration layer
FF-029,SolidJS,SolidJS as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/solidjs.json,Frontend organism / orchestration layer
FF-030,Preact,Preact as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/preact.json,Frontend organism / orchestration layer
FF-031,Alpine.js,Alpine.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/alpine-js.json,Frontend organism / orchestration layer
FF-032,Lit,Lit as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/lit.json,Frontend organism / orchestration layer
FF-033,Qwik,Qwik as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/qwik.json,Frontend organism / orchestration layer
FF-034,Astro,Astro as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/astro.json,Frontend organism / orchestration layer
FF-035,Next.js,Next.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/next-js.json,Frontend organism / orchestration layer
FF-036,Nuxt.js,Nuxt.js as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/nuxt-js.json,Frontend organism / orchestration layer
FF-037,SvelteKit,SvelteKit as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/sveltekit.json,Frontend organism / orchestration layer
FF-038,Remix,Remix as framework intelligence,Projection framework intelligence,Interface Ring,Project component trees and route flows,Sovereign Interface Organism,catalogued,/registry/frontend/models/remix.json,Frontend organism / orchestration layer
FF-039,Redux,Redux as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/redux.json,Frontend organism / memory layer
FF-040,MobX,MobX as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/mobx.json,Frontend organism / memory layer
FF-041,Zustand,Zustand as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/zustand.json,Frontend organism / memory layer
FF-042,Recoil,Recoil as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/recoil.json,Frontend organism / memory layer
FF-043,Jotai,Jotai as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/jotai.json,Frontend organism / memory layer
FF-044,XState,XState as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/xstate.json,Frontend organism / memory layer
FF-045,Valtio,Valtio as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/valtio.json,Frontend organism / memory layer
FF-046,Pinia,Pinia as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/pinia.json,Frontend organism / memory layer
FF-047,NgRx,NgRx as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/ngrx.json,Frontend organism / memory layer
FF-048,Effector,Effector as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/effector.json,Frontend organism / memory layer
FF-049,Akita,Akita as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/akita.json,Frontend organism / memory layer
FF-050,Context API,Context API as state intelligence,Memory-state intelligence,Memory Ring,Persist and synchronize runtime state,Sovereign State Kernel,catalogued,/registry/frontend/models/context-api.json,Frontend organism / memory layer
FF-051,Webpack,Webpack as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/webpack.json,Frontend organism / packaging layer
FF-052,Vite,Vite as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/vite.json,Frontend organism / packaging layer
FF-053,Rollup,Rollup as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/rollup.json,Frontend organism / packaging layer
FF-054,esbuild,esbuild as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/esbuild.json,Frontend organism / packaging layer
FF-055,Parcel,Parcel as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/parcel.json,Frontend organism / packaging layer
FF-056,SWC,SWC as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/swc.json,Frontend organism / packaging layer
FF-057,Babel,Babel as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/babel.json,Frontend organism / packaging layer
FF-058,Terser,Terser as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/terser.json,Frontend organism / packaging layer
FF-059,PostCSS (build),PostCSS (build) as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/postcss-build.json,Frontend organism / packaging layer
FF-060,Turbopack,Turbopack as build intelligence,Transformation pipeline intelligence,Build Ring,Transform source into optimized runtime artifacts,Sovereign Build Pipeline,catalogued,/registry/frontend/models/turbopack.json,Frontend organism / packaging layer
FF-061,Jest,Jest as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/jest.json,Frontend organism / verification layer
FF-062,Vitest,Vitest as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/vitest.json,Frontend organism / verification layer
FF-063,Cypress,Cypress as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/cypress.json,Frontend organism / verification layer
FF-064,Playwright,Playwright as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/playwright.json,Frontend organism / verification layer
FF-065,Testing Library,Testing Library as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/testing-library.json,Frontend organism / verification layer
FF-066,Storybook,Storybook as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/storybook.json,Frontend organism / verification layer
FF-067,Chromatic,Chromatic as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/chromatic.json,Frontend organism / verification layer
FF-068,Percy,Percy as testing intelligence,Verification intelligence,Proof Ring,Validate behavior and visual/runtime truth,Sovereign Visual Proof Engine,catalogued,/registry/frontend/models/percy.json,Frontend organism / verification layer
FF-069,Canvas API,Canvas API as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/canvas-api.json,Frontend organism / scene layer
FF-070,WebGL,WebGL as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/webgl.json,Frontend organism / scene layer
FF-071,WebGPU,WebGPU as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/webgpu.json,Frontend organism / scene layer
FF-072,Three.js,Three.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/three-js.json,Frontend organism / scene layer
FF-073,D3.js,D3.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/d3-js.json,Frontend organism / scene layer
FF-074,Chart.js,Chart.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/chart-js.json,Frontend organism / scene layer
FF-075,Pixi.js,Pixi.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/pixi-js.json,Frontend organism / scene layer
FF-076,Babylon.js,Babylon.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/babylon-js.json,Frontend organism / scene layer
FF-077,p5.js,p5.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/p5-js.json,Frontend organism / scene layer
FF-078,Anime.js,Anime.js as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/anime-js.json,Frontend organism / scene layer
FF-079,GSAP,GSAP as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/gsap.json,Frontend organism / scene layer
FF-080,Lottie,Lottie as graphics intelligence,Scene and motion intelligence,Geometry Ring,Render raster/vector/3D scenes and motion,Sovereign Scene System,catalogued,/registry/frontend/models/lottie.json,Frontend organism / scene layer
FF-081,Fetch API,Fetch API as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/fetch-api.json,Frontend organism / channel layer
FF-082,Axios,Axios as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/axios.json,Frontend organism / channel layer
FF-083,WebSocket,WebSocket as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/websocket.json,Frontend organism / channel layer
FF-084,WebRTC,WebRTC as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/webrtc.json,Frontend organism / channel layer
FF-085,Server-Sent Events,Server-Sent Events as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/server-sent-events.json,Frontend organism / channel layer
FF-086,GraphQL Client,GraphQL Client as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/graphql-client.json,Frontend organism / channel layer
FF-087,Apollo Client,Apollo Client as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/apollo-client.json,Frontend organism / channel layer
FF-088,React Query,React Query as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/react-query.json,Frontend organism / channel layer
FF-089,SWR,SWR as communication intelligence,Stream and query intelligence,Transport Ring,Move data across request/stream/peer channels,Sovereign Transport Mesh,catalogued,/registry/frontend/models/swr.json,Frontend organism / channel layer
FF-090,LocalStorage,LocalStorage as storage intelligence,Local persistence intelligence,Persistence Ring,"Store tokens, cache, and local memory",Sovereign Local Memory Vault,catalogued,/registry/frontend/models/localstorage.json,Frontend organism / persistence layer
FF-091,SessionStorage,SessionStorage as storage intelligence,Local persistence intelligence,Persistence Ring,"Store tokens, cache, and local memory",Sovereign Local Memory Vault,catalogued,/registry/frontend/models/sessionstorage.json,Frontend organism / persistence layer
FF-092,IndexedDB,IndexedDB as storage intelligence,Local persistence intelligence,Persistence Ring,"Store tokens, cache, and local memory",Sovereign Local Memory Vault,catalogued,/registry/frontend/models/indexeddb.json,Frontend organism / persistence layer
FF-093,Cache API,Cache API as storage intelligence,Local persistence intelligence,Persistence Ring,"Store tokens, cache, and local memory",Sovereign Local Memory Vault,catalogued,/registry/frontend/models/cache-api.json,Frontend organism / persistence layer
FF-094,Cookies,Cookies as storage intelligence,Local persistence intelligence,Persistence Ring,"Store tokens, cache, and local memory",Sovereign Local Memory Vault,catalogued,/registry/frontend/models/cookies.json,Frontend organism / persistence layer
FF-095,Service Workers,Service Workers as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/service-workers.json,Frontend organism / native runtime layer
FF-096,Web Workers,Web Workers as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/web-workers.json,Frontend organism / native runtime layer
FF-097,Notifications API,Notifications API as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/notifications-api.json,Frontend organism / native runtime layer
FF-098,Geolocation API,Geolocation API as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/geolocation-api.json,Frontend organism / native runtime layer
FF-099,Web Audio API,Web Audio API as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/web-audio-api.json,Frontend organism / native runtime layer
FF-100,Web Speech API,Web Speech API as web api intelligence,Browser-native capability intelligence,Native Capability Ring,Coordinate native browser capabilities,Sovereign Browser Runtime Bridge,catalogued,/registry/frontend/models/web-speech-api.json,Frontend organism / native runtime layer
